,clean_text
5347,<mark> That is the case that I am setting out on behalf of the Government today</mark>
5348,"<mark> What I can say, which I certainly hope will reassure him, is that the Act will be regularly reviewed, that parliamentary scrutiny from all quarters is very welcome and that any powers retained in the Act need to be properly justifiedthey must be necessary and proportionate</mark>"
5349,<mark> That is the case that I am setting out on behalf of the Government today</mark>
5350,"<mark>There is a limited amount of time for this debate, which needs to finish at 4</mark>"
5351,"<mark>There is a limited amount of time for this debate, which needs to finish at 4</mark>"
5352,"<mark> It is for that reason that if there were a Division I would not be voting for this legislation, because I do not think it comes with enough parliamentary scrutinythe sort of scrutiny that there is if we use the Civil Contingencies Act 2004</mark>"
5353,"<mark> It is for that reason that if there were a Division I would not be voting for this legislation, because I do not think it comes with enough parliamentary scrutinythe sort of scrutiny that there is if we use the Civil Contingencies Act 2004</mark>"
5354,"<mark> We have given nearly 95 million vaccines, with more than eight in 10 of every man, woman and child in the UK over the age of 12 getting at least one jab and some 79% receiving at least two</mark>"
5355,"<mark> The latest estimates show that our vaccines have prevented over 24 million infections, over 260,000 hospitalisations and over 127,000 deaths</mark>"
5356,"<mark> We have given nearly 95 million vaccines, with more than eight in 10 of every man, woman and child in the UK over the age of 12 getting at least one jab and some 79% receiving at least two</mark>"
5357,"<mark> The latest estimates show that our vaccines have prevented over 24 million infections, over 260,000 hospitalisations and over 127,000 deaths</mark>"
5358,<mark> Friend explain in detail which of the measures that the Government seek to retain could not be implemented alternatively by means of the Civil Contingencies Act or the Public Health Control of Disease Act 1984</mark>
5359,<mark> Friend explain in detail which of the measures that the Government seek to retain could not be implemented alternatively by means of the Civil Contingencies Act or the Public Health Control of Disease Act 1984</mark>
5360,"<mark> Yesterday, we recorded close to 50,000 infections, more than 7,000 people were in hospitalwith nearly 800 in ICUand every day on average 100 of our fellow citizens sadly die from this disease</mark>"
5361,"<mark> In the past three weeks, we have seen an average of 10,000 new covid infections every day in schools and thousands are missing school as a consequence</mark>"
5362,"<mark> The Secretary of State rightly referred to health disparities and stalling life expectancy in Blackpool, but his Government have presided over public health cuts of £43 per person per year across Blackpool, which are some of the largest in the country</mark>"
5363,"<mark> As of Friday, only half of eligible over80s had received their booster jab</mark>"
5364,"<mark> Charities including Blood Cancer UK and Kidney Care UK are warning that the thirddose programme for the immunosuppressed has been a chaotic failure, with between 55% and 60% yet to be invited to get a third dose, as of Friday</mark>"
5365,"<mark> Yesterday, we recorded close to 50,000 infections, more than 7,000 people were in hospitalwith nearly 800 in ICUand every day on average 100 of our fellow citizens sadly die from this disease</mark>"
5366,"<mark> In the past three weeks, we have seen an average of 10,000 new covid infections every day in schools and thousands are missing school as a consequence</mark>"
5367,"<mark> The Secretary of State rightly referred to health disparities and stalling life expectancy in Blackpool, but his Government have presided over public health cuts of £43 per person per year across Blackpool, which are some of the largest in the country</mark>"
5368,"<mark> As of Friday, only half of eligible over80s had received their booster jab</mark>"
5369,"<mark> Charities including Blood Cancer UK and Kidney Care UK are warning that the thirddose programme for the immunosuppressed has been a chaotic failure, with between 55% and 60% yet to be invited to get a third dose, as of Friday</mark>"
5370,"<mark> The 1984 Act remains in place and gives Ministers all the powers they would want to be able to lock down the country againI hope that is never needed, but they have the powers if they need them</mark>"
5371,"<mark> The 1984 Act remains in place and gives Ministers all the powers they would want to be able to lock down the country againI hope that is never needed, but they have the powers if they need them</mark>"
5372,"<mark> Member for Twickenham Munira Wilson on vaccine passports, the Secretary of State gave half of the right answer, which was that the Government would have to persuade the House to introduce vaccine passports, and he confirmed that the House would have to vote on it</mark>"
5373,"<mark> Member for Twickenham Munira Wilson on vaccine passports, the Secretary of State gave half of the right answer, which was that the Government would have to persuade the House to introduce vaccine passports, and he confirmed that the House would have to vote on it</mark>"
5374,<mark> 1125</mark>
5375,"<mark> Yesterday, that vaccine company which is developing the only inactivated covid19 vaccine in clinical development in Europe, and manufacturing that vaccine in Scotland, published positive data from its phase 3 clinical trial</mark>"
5376,<mark> 1125</mark>
5377,"<mark> Yesterday, that vaccine company which is developing the only inactivated covid19 vaccine in clinical development in Europe, and manufacturing that vaccine in Scotland, published positive data from its phase 3 clinical trial</mark>"
5378,"<mark> We do not know how many will leave the NHS at that stage, but if vaccinations in the NHS stand at about 90%, we could be looking at a loss of more than 100,000 people</mark>"
5379,"<mark> We do not know how many will leave the NHS at that stage, but if vaccinations in the NHS stand at about 90%, we could be looking at a loss of more than 100,000 people</mark>"
5380,<mark> The shadow spokesman raised the issue of vaccinations and I am pleased to report that 3</mark>
5381,<mark>6 million booster jabs have been delivered to date over a very short time period</mark>
5382,"<mark> The NHS longterm plan commits to increasing investment in mental health at least as fast as investment in physical health, with at least £2</mark>"
5383,"<mark>3 billion of extra spending on mental health by 202324, which I hope he welcomes</mark>"
5384,<mark> The shadow spokesman raised the issue of vaccinations and I am pleased to report that 3</mark>
5385,<mark>6 million booster jabs have been delivered to date over a very short time period</mark>
5386,"<mark> The NHS longterm plan commits to increasing investment in mental health at least as fast as investment in physical health, with at least £2</mark>"
5387,"<mark>3 billion of extra spending on mental health by 202324, which I hope he welcomes</mark>"
5388,"<mark>Covid certification will be brought in under the Public Health Control of Disease Act 1984, which, as my right hon</mark>"
5389,"<mark>Covid certification will be brought in under the Public Health Control of Disease Act 1984, which, as my right hon</mark>"
5390,"<mark> As of yesterday, we have administered some 3</mark>"
5391,<mark>7 million jabs</mark>
5392,"<mark> It has protected the NHS in its hour of need by allowing tens of thousands of medical and care staff to register with the NHS temporarily, including nurses, midwives, paramedics, radiographers, social workers and many others; by keeping public services going, including ensuring that our courts and local democracy could function; and by providing a vital lifeline for people and businesses across the country, supporting 11</mark>"
5393,<mark>7 million jobs and providing 1</mark>
5394,<mark>6 million business loans</mark>
5395,"<mark> As of yesterday, we have administered some 3</mark>"
5396,<mark>7 million jabs</mark>
5397,"<mark> It has protected the NHS in its hour of need by allowing tens of thousands of medical and care staff to register with the NHS temporarily, including nurses, midwives, paramedics, radiographers, social workers and many others; by keeping public services going, including ensuring that our courts and local democracy could function; and by providing a vital lifeline for people and businesses across the country, supporting 11</mark>"
5398,<mark>7 million jobs and providing 1</mark>
5399,<mark>6 million business loans</mark>
5400,"<mark> We need to keep working on it, but it might be helpful to know that under section 2 of the Act, the Nursing and Midwifery Council has been able to register temporarily some 14,000 nurses, midwives and nursing associates in England, and the Health and Care Professions Council has been able to register more than 21,000 temporary paramedics, operating department practitioners, radiographers and other professionals</mark>"
5401,"<mark> They include section 51, which relates to potentially infectious persons and which has been used only 10 times and not since October 2020; section 52, which gave powers to issue directions relating to events, gatherings and premises, and which has never been used; section 23, which relates to time limits for urgent warrants under the Investigatory Powers Act 2016 and which is no longer proportionate to this stage of the pandemic; and section 37, which allowed for the disruption of education for children and young people with special educational needs and disabilities, and which continues to be unused</mark>"
5402,"<mark> We need to keep working on it, but it might be helpful to know that under section 2 of the Act, the Nursing and Midwifery Council has been able to register temporarily some 14,000 nurses, midwives and nursing associates in England, and the Health and Care Professions Council has been able to register more than 21,000 temporary paramedics, operating department practitioners, radiographers and other professionals</mark>"
5403,"<mark> They include section 51, which relates to potentially infectious persons and which has been used only 10 times and not since October 2020; section 52, which gave powers to issue directions relating to events, gatherings and premises, and which has never been used; section 23, which relates to time limits for urgent warrants under the Investigatory Powers Act 2016 and which is no longer proportionate to this stage of the pandemic; and section 37, which allowed for the disruption of education for children and young people with special educational needs and disabilities, and which continues to be unused</mark>"
5404,<mark> 8MC</mark>
5405,"<mark> The point made at the time was that the Act is not necessary, because it replicates many other pieces of legislation, and that the Act alone allows the Government to act without recourse to the House, which is not true of the Civil Contingencies Act 2004 or the Public Health Control of Disease Act 1984</mark>"
5406,"<mark> The point made at the time was that the Act is not necessary, because it replicates many other pieces of legislation, and that the Act alone allows the Government to act without recourse to the House, which is not true of the Civil Contingencies Act 2004 or the Public Health Control of Disease Act 1984</mark>"
5407,"<mark>I think the problem for the Secretary of State is how the Government acted in the past by not bringing things to the House for debate; I know that the chairman of the 1922 committee, my hon</mark>"
5408,"<mark>I think the problem for the Secretary of State is how the Government acted in the past by not bringing things to the House for debate; I know that the chairman of the 1922 committee, my hon</mark>"
5409,"<mark> Taken together with the 13 out of 40 temporary nondevolved provisions in the Act that have already expired, that will mean that half of the original 40 temporary nondevolved powers in the Act will expire early</mark>"
5410,"<mark> Taken together with the 13 out of 40 temporary nondevolved provisions in the Act that have already expired, that will mean that half of the original 40 temporary nondevolved powers in the Act will expire early</mark>"
5411,"<mark> In line with our autumn and winter plan, we intend to retain the temporary provisions that remain essential to our ongoing pandemic work, including sections 2, 6, 14, 38, 45, 50 and 75, which cover vital aspects such as supporting the NHS to help it to retain emergency staff and enabling statutory sick pay to be provided for people who are selfisolating</mark>"
5412,"<mark> In line with our autumn and winter plan, we intend to retain the temporary provisions that remain essential to our ongoing pandemic work, including sections 2, 6, 14, 38, 45, 50 and 75, which cover vital aspects such as supporting the NHS to help it to retain emergency staff and enabling statutory sick pay to be provided for people who are selfisolating</mark>"
5413,<mark> 2 Bill</mark>
5414,"<mark> Let us not forget that we had no chance to scrutinise provisions when the Government raised fines from £960 to £10,000</mark>"
5415,<mark> The Guardian revealed that people of colour were 54% more likely to be fined than white people</mark>
5416,"<mark> 2 Bill, based on Libertys Protect Everyone Bill, I say to every single Member of this House that we can do that</mark>"
5417,<mark> 2 Bill</mark>
5418,"<mark> Let us not forget that we had no chance to scrutinise provisions when the Government raised fines from £960 to £10,000</mark>"
5419,<mark> The Guardian revealed that people of colour were 54% more likely to be fined than white people</mark>
5420,"<mark> 2 Bill, based on Libertys Protect Everyone Bill, I say to every single Member of this House that we can do that</mark>"
5421,<mark> She made the point that we took the Bill through the House in one day and it was in fact unnecessary because the power was already replicated in the Civil Contingencies Act 2004 and the Public Health Control of Disease Act 1984</mark>
5422,<mark> We have just had an astonishingly thorough report from two Select Committees that has pointed out that the Government have made mistake after mistake after mistakemistakes that cost thousands of lives</mark>
5423,<mark> All of it led to thousands of lives being lost</mark>
5424,<mark> She made the point that we took the Bill through the House in one day and it was in fact unnecessary because the power was already replicated in the Civil Contingencies Act 2004 and the Public Health Control of Disease Act 1984</mark>
5425,<mark> We have just had an astonishingly thorough report from two Select Committees that has pointed out that the Government have made mistake after mistake after mistakemistakes that cost thousands of lives</mark>
5426,<mark> All of it led to thousands of lives being lost</mark>
5427,"<mark> Friend the Member for Forest of Dean said, it is not true; it is the Public Health Control of Disease Act 1984, which still hangs over our heads like a sword of Damocles</mark>"
5428,<mark> That is why I am grateful to Lord Sumption for giving me the outline of the 1984 Act reform that I hope the Secretary of State will look at</mark>
5429,"<mark> We will need to change how the 1984 Act powers are exercised if we truly are believers in freedom, democracy and the rule of law</mark>"
5430,"<mark> Friend the Member for Forest of Dean said, it is not true; it is the Public Health Control of Disease Act 1984, which still hangs over our heads like a sword of Damocles</mark>"
5431,<mark> That is why I am grateful to Lord Sumption for giving me the outline of the 1984 Act reform that I hope the Secretary of State will look at</mark>
5432,"<mark> We will need to change how the 1984 Act powers are exercised if we truly are believers in freedom, democracy and the rule of law</mark>"
5433,<mark>9% of the population of the UK over the age of 12</mark>
5434,<mark>9% of the population of the UK over the age of 12</mark>
5435,"<mark> 150A Independent Expert Panel and which contains a determination for a sanction that would, if made by the Committee on Standards, engage the provisions of the Recall of MPs Act 2015</mark>"
5436,<mark> IEP recommendations for sanctions and the Recall of MPs Act 2015 to report to the House recommendations for sanctions to run concurrently with sanctions determined by a subpanel of the IEP and implemented by the House</mark>
5437,"<mark> IEP recommendations for sanctions and the Recall of MPs Act 2015, or a motion to implement both such a sanction and a sanction determined by a subpanel of the IEP</mark>"
5438,"<mark> It was also felt that, should the 10% signing threshold be reached and a byelection campaign be subsequently triggered, the risk to the complainants confidentiality would become greater</mark>"
5439,"<mark> Since the panel commenced its work, this House has had cause to consider once more the discrepancy between ICGS and nonICGS cases when it comes to their interplay with the Recall of MPs Act 2015</mark>"
5440,"<mark> The Recall of MPs Act 2015 provides three conditions for a recall petition process, one of which is a suspension of a period of at least 10 sitting days or 14 calendar days</mark>"
5441,"<mark> 150A Independent Expert Panel and which contains a determination for a sanction that would, if made by the Committee on Standards, engage the provisions of the Recall of MPs Act 2015</mark>"
5442,<mark> IEP recommendations for sanctions and the Recall of MPs Act 2015 to report to the House recommendations for sanctions to run concurrently with sanctions determined by a subpanel of the IEP and implemented by the House</mark>
5443,"<mark> IEP recommendations for sanctions and the Recall of MPs Act 2015, or a motion to implement both such a sanction and a sanction determined by a subpanel of the IEP</mark>"
5444,"<mark> It was also felt that, should the 10% signing threshold be reached and a byelection campaign be subsequently triggered, the risk to the complainants confidentiality would become greater</mark>"
5445,"<mark> Since the panel commenced its work, this House has had cause to consider once more the discrepancy between ICGS and nonICGS cases when it comes to their interplay with the Recall of MPs Act 2015</mark>"
5446,"<mark> The Recall of MPs Act 2015 provides three conditions for a recall petition process, one of which is a suspension of a period of at least 10 sitting days or 14 calendar days</mark>"
5447,"<mark> As it stands, as the Leader of the House said, if a Member is suspended from Parliament for 10 or more sitting days by the Standards Committee for a breach of the code of conduct, such as regarding expenses or for the misuse of resources, their constituents could, if they chose, cause a byelection under the Recall of MPs Act 2015</mark>"
5448,"<mark> As it stands, as the Leader of the House said, if a Member is suspended from Parliament for 10 or more sitting days by the Standards Committee for a breach of the code of conduct, such as regarding expenses or for the misuse of resources, their constituents could, if they chose, cause a byelection under the Recall of MPs Act 2015</mark>"
5449,"<mark> For the first time in a long time, we are seeing a bit of respect and a grudging admiration for the type of thing that we get involved in and the work we do on behalf of our constituents</mark>"
5450,"<mark> For the first time in a long time, we are seeing a bit of respect and a grudging admiration for the type of thing that we get involved in and the work we do on behalf of our constituents</mark>"
5451,<mark> It knew perfectly well that these were the rules and that it was unable to allow the invoking of the Recall of MPs Act 2015</mark>
5452,<mark> It knew perfectly well that these were the rules and that it was unable to allow the invoking of the Recall of MPs Act 2015</mark>
5453,"<mark> 150A Independent Expert Panel and which contains a determination for a sanction that would, if made by the Committee on Standards, engage the provisions of the Recall of MPs Act 2015</mark>"
5454,<mark> IEP recommendations for sanctions and the Recall of MPs Act 2015 to report to the House recommendations for sanctions to run concurrently with sanctions determined by a subpanel of the IEP and implemented by the House</mark>
5455,"<mark> IEP recommendations for sanctions and the Recall of MPs Act 2015, or a motion to implement both such a sanction and a sanction determined by a subpanel of the IEP</mark>"
5456,"<mark> 150A Independent Expert Panel and which contains a determination for a sanction that would, if made by the Committee on Standards, engage the provisions of the Recall of MPs Act 2015</mark>"
5457,<mark> IEP recommendations for sanctions and the Recall of MPs Act 2015 to report to the House recommendations for sanctions to run concurrently with sanctions determined by a subpanel of the IEP and implemented by the House</mark>
5458,"<mark> IEP recommendations for sanctions and the Recall of MPs Act 2015, or a motion to implement both such a sanction and a sanction determined by a subpanel of the IEP</mark>"
5459,"<mark> A tourist couple reported getting into a pedicab in Leicester Square, going 0</mark>"
5460,<mark>8 miles to Stratton Street and being charged £380</mark>
5461,<mark> An Uber fare for the same trip would cost £754 times more was charged by the pedicab driver</mark>
5462,"<mark> I have had 4,000 representations made to me about this one issue</mark>"
5463,"<mark> Transport for London estimates the number of these cabs on the streets of London to be about 400, but other estimates go up to about 1,400</mark>"
5464,<mark>8</mark>
5465,<mark>8</mark>
5466,<mark>The voter ID pilots suggested that 0</mark>
5467,"<mark>16% of people who tried to vote were sent back to get identification, but in the London mayoral elections 5% of ballots were rejected because of confusion</mark>"
5468,<mark>The voter ID pilots suggested that 0</mark>
5469,"<mark>16% of people who tried to vote were sent back to get identification, but in the London mayoral elections 5% of ballots were rejected because of confusion</mark>"
5470,"<mark> What happens in Afghanistan can ripple throughout the region and further along, as we saw with alQaeda in 2001it is really important</mark>"
5471,"<mark> What happens in Afghanistan can ripple throughout the region and further along, as we saw with alQaeda in 2001it is really important</mark>"
5472,"<mark> The biggest risk is that the British Government give that the same lack of attention and preparation they gave to Afghanistan in the 18 months ahead of the NATO withdrawal, so why on earth is the Prime Minister now cutting back, by more than half, on his National Security Council meetings</mark>"
5473,"<mark> The biggest risk is that the British Government give that the same lack of attention and preparation they gave to Afghanistan in the 18 months ahead of the NATO withdrawal, so why on earth is the Prime Minister now cutting back, by more than half, on his National Security Council meetings</mark>"
5474,"<mark> Secondly, he should not rule out the fact that counterterrorism funding both for here and abroad has increased significantly since 2015, with well over 30% of funding both to civilians such as the police and the intelligence services and to special forces and the armed forces</mark>"
5475,"<mark> The direction of travel is increasing not decreasing and the capability that we are procuring, including the drones that we have recently signed up to, will give us extra capability that we did not have all those years ago in 2001</mark>"
5476,"<mark> Secondly, he should not rule out the fact that counterterrorism funding both for here and abroad has increased significantly since 2015, with well over 30% of funding both to civilians such as the police and the intelligence services and to special forces and the armed forces</mark>"
5477,"<mark> The direction of travel is increasing not decreasing and the capability that we are procuring, including the drones that we have recently signed up to, will give us extra capability that we did not have all those years ago in 2001</mark>"
5478,"<mark> Friend as staggered as I am to learn that the Conservative partys PCC for Cleveland, Steve Turner, who was elected earlier this year, was sacked in the early 2000s for systematic theft of merchandise from his then employer, Safeway supermarket, at its Norton store Does she agree that it is totally untenable for someone who was engaged in such criminal behaviour to hold the position of PCC and that he must resign from his role with immediate effect</mark>"
5479,"<mark> Friend as staggered as I am to learn that the Conservative partys PCC for Cleveland, Steve Turner, who was elected earlier this year, was sacked in the early 2000s for systematic theft of merchandise from his then employer, Safeway supermarket, at its Norton store Does she agree that it is totally untenable for someone who was engaged in such criminal behaviour to hold the position of PCC and that he must resign from his role with immediate effect</mark>"
5480,"<mark>I share the confusion of the 5%, because I have absolutely no idea what the hon</mark>"
5481,"<mark>I share the confusion of the 5%, because I have absolutely no idea what the hon</mark>"
5482,"<mark> Thirdly, if the Government are to address the anomaly, will they report back on the impact on pensioners incomes and take a real interest in the difficulties faced by millions of pensioners on low incomes Those are all sensible measures that should be part of the good governance of this country</mark>"
5483,"<mark> Thirdly, if the Government are to address the anomaly, will they report back on the impact on pensioners incomes and take a real interest in the difficulties faced by millions of pensioners on low incomes Those are all sensible measures that should be part of the good governance of this country</mark>"
5484,"<mark> I am disappointed that the Government chose to reject our new clause 2 in Committee, but in the interests of brevity I will not go over old ground, not least because I am conscious that we have more legislation to consider this evening</mark>"
5485,"<mark> I am disappointed that the Government chose to reject our new clause 2 in Committee, but in the interests of brevity I will not go over old ground, not least because I am conscious that we have more legislation to consider this evening</mark>"
5486,<mark> We increased the state pension by 2</mark>
5487,<mark>5% last year and we will increase it by 2</mark>
5488,<mark>5% on prices this year</mark>
5489,<mark> We spend £129 billion on pensionersthat is £105 billion on the state pension and £24 billion on the topup benefitsand this Government will continue to support pensioners now and on an ongoing basis</mark>
5490,<mark> We increased the state pension by 2</mark>
5491,<mark>5% last year and we will increase it by 2</mark>
5492,<mark>5% on prices this year</mark>
5493,<mark> We spend £129 billion on pensionersthat is £105 billion on the state pension and £24 billion on the topup benefitsand this Government will continue to support pensioners now and on an ongoing basis</mark>
5494,<mark> Can I confirm that his Department will continue to meet the public sector target of 2</mark>
5495,"<mark>3% for the hiring of apprentices Will he also ensure that any company that gets a procurement contract with the Ministry of Defence employs a significant number of apprentices, and that otherwise it will not get the contract</mark>"
5496,<mark> Can I confirm that his Department will continue to meet the public sector target of 2</mark>
5497,"<mark>3% for the hiring of apprentices Will he also ensure that any company that gets a procurement contract with the Ministry of Defence employs a significant number of apprentices, and that otherwise it will not get the contract</mark>"
5498,"<mark> Over 90% of recruits are offered an apprenticeship, and I am pleased to confirm that recent statistics show that 7</mark>"
5499,"<mark>9% of our headcount are new apprentice starts, exceeding the Government public sector target of 2</mark>"
5500,<mark>3%</mark>
5501,"<mark> Over 90% of recruits are offered an apprenticeship, and I am pleased to confirm that recent statistics show that 7</mark>"
5502,"<mark>9% of our headcount are new apprentice starts, exceeding the Government public sector target of 2</mark>"
5503,<mark>3%</mark>
5504,"<mark> It is in our manifesto and it reflects the view of the British people, as expressed in the 2011 referendum, when 67% of them voted for first past the post</mark>"
5505,<mark> The House will of course want to know that in my constituency of Tamworth 77% of electors voted for it</mark>
5506,"<mark> It is in our manifesto and it reflects the view of the British people, as expressed in the 2011 referendum, when 67% of them voted for first past the post</mark>"
5507,<mark> The House will of course want to know that in my constituency of Tamworth 77% of electors voted for it</mark>
5508,"<mark> Well, yes, we were all elected under first past the post, and the first thing that our leader at the time, Angus Robertson, said when he got up in this House was to recognise the disproportionate result that was achieved in Scotland in 2015, 2017 and 2019</mark>"
5509,"<mark> Well, yes, we were all elected under first past the post, and the first thing that our leader at the time, Angus Robertson, said when he got up in this House was to recognise the disproportionate result that was achieved in Scotland in 2015, 2017 and 2019</mark>"
5510,"<mark> I might remind them that in 2011 the country voted for first past the post by 67%, and yet the Greens seem to want to ignore that</mark>"
5511,"<mark> I remind them that in 2016 the country voted to leave the European Union, but the Opposition parties tried every trick in the book to undermine the decisions of the British people</mark>"
5512,"<mark> I might remind them that in 2011 the country voted for first past the post by 67%, and yet the Greens seem to want to ignore that</mark>"
5513,"<mark> I remind them that in 2016 the country voted to leave the European Union, but the Opposition parties tried every trick in the book to undermine the decisions of the British people</mark>"
5514,"<mark> 83A7,</mark>"
5515,"<mark> 83A7,</mark>"
5516,<mark> I knew him for the best part of a decade and a half</mark>
5517,"<mark> Indeed, for the past 11 and half years he served as my local Member of Parliament in Old Bexley and Sidcup, but James to me was so much more than that</mark>"
5518,<mark> I knew him for the best part of a decade and a half</mark>
5519,"<mark> Indeed, for the past 11 and half years he served as my local Member of Parliament in Old Bexley and Sidcup, but James to me was so much more than that</mark>"
5520,<mark> Nothing in the legislation requires MHRA authorisation for a compound drug to be moved to schedule 2 to 5 under the Misuse of Drugs Regulations 2001</mark>
5521,"<mark> That would require market authorisation as, under the apparent new policy, which has so far never been presented to the House, compounds can never escape the rigours and expense of schedule 1</mark>"
5522,<mark> Nothing in the legislation requires MHRA authorisation for a compound drug to be moved to schedule 2 to 5 under the Misuse of Drugs Regulations 2001</mark>
5523,"<mark> That would require market authorisation as, under the apparent new policy, which has so far never been presented to the House, compounds can never escape the rigours and expense of schedule 1</mark>"
5524,"<mark> and learned Friend the Member for South Swindon Robert Buckland has said, the Roy Castle Lung Foundation, of which, I am pleased to say, my wife is the medical director, has benefited by more than £50,000 because of the work that James did</mark>"
5525,"<mark> and learned Friend the Member for South Swindon Robert Buckland has said, the Roy Castle Lung Foundation, of which, I am pleased to say, my wife is the medical director, has benefited by more than £50,000 because of the work that James did</mark>"
5526,"<mark> We supported the fantastic Member of Parliament for Epping Forest, Madam Deputy Speaker, to ensure that sheyou, Madam Deputy Speakerwas elected in 1997 and retained her seat at every election since</mark>"
5527,<mark> James and I worked together to support Robin Squire in his attempt to regain his Hornchurch seat in 2001</mark>
5528,"<mark> That seat eventually sent James to this place in 2005, and that inspired me to find a seat that I could win</mark>"
5529,"<mark>com page, and when I last checked well over £50,000 had been raised in memory of James and in support of the Roy Castle Lung Cancer Foundation</mark>"
5530,"<mark> We supported the fantastic Member of Parliament for Epping Forest, Madam Deputy Speaker, to ensure that sheyou, Madam Deputy Speakerwas elected in 1997 and retained her seat at every election since</mark>"
5531,<mark> James and I worked together to support Robin Squire in his attempt to regain his Hornchurch seat in 2001</mark>
5532,"<mark> That seat eventually sent James to this place in 2005, and that inspired me to find a seat that I could win</mark>"
5533,"<mark>com page, and when I last checked well over £50,000 had been raised in memory of James and in support of the Roy Castle Lung Cancer Foundation</mark>"
5534,"<mark>James and I must have first met in 2003, when he was selected as the Conservative candidate for Hornchurch and I was the sitting MP</mark>"
5535,"<mark> In 2005, James won and I lost</mark>"
5536,"<mark>James and I must have first met in 2003, when he was selected as the Conservative candidate for Hornchurch and I was the sitting MP</mark>"
5537,"<mark> In 2005, James won and I lost</mark>"
5538,"<mark> Friend the COP Presidentdesignate has spent, and continues to spend, an enormous amount of time on ensuring that we can reach that $100 billion figure, which is a clear symbol of intent</mark>"
5539,"<mark> Friend the COP Presidentdesignate has spent, and continues to spend, an enormous amount of time on ensuring that we can reach that $100 billion figure, which is a clear symbol of intent</mark>"
5540,"<mark> The mayor of Bexley, Dave Easton, on behalf of staff at Bexley Council, said that James was a wonderful individual, totally dedicated to his residentsa man of utter integrity, who cared so much about Bexley</mark>"
5541,"<mark> The mayor of Bexley, Dave Easton, on behalf of staff at Bexley Council, said that James was a wonderful individual, totally dedicated to his residentsa man of utter integrity, who cared so much about Bexley</mark>"
5542,"<mark> James and I share a birth year, 1968I like to think it was a very fine vintage indeed</mark>"
5543,"<mark> As we speak today, the Roy Castle Lung Foundation will already be richer to the tune of more than £50,000 because of the tribute page that has been set up in Jamess memory by Cathy and the family</mark>"
5544,"<mark> James and I share a birth year, 1968I like to think it was a very fine vintage indeed</mark>"
5545,"<mark> As we speak today, the Roy Castle Lung Foundation will already be richer to the tune of more than £50,000 because of the tribute page that has been set up in Jamess memory by Cathy and the family</mark>"
5546,<mark>I first became a friend of James when he joined the shadow Home Office team about a decade and a half ago</mark>
5547,<mark>I first became a friend of James when he joined the shadow Home Office team about a decade and a half ago</mark>
5548,"<mark> I first met James in the shadow Home Affairs team before the 2010 election and then as junior Ministers in the Home Office for four years, and he was the perfect colleague</mark>"
5549,<mark> James was appointed and reappointed to a succession of really difficult ministerial jobs by all three Prime Ministers since 2010</mark>
5550,"<mark> I first met James in the shadow Home Affairs team before the 2010 election and then as junior Ministers in the Home Office for four years, and he was the perfect colleague</mark>"
5551,<mark> James was appointed and reappointed to a succession of really difficult ministerial jobs by all three Prime Ministers since 2010</mark>
5552,<mark>1 Proceedings on consideration of Lords Amendments shall so far as not previously concluded be brought to a conclusion six hours after their commencement</mark>
5553,<mark>1 Proceedings on consideration of Lords Amendments shall so far as not previously concluded be brought to a conclusion six hours after their commencement</mark>
5554,<mark>3 Any further Message from the Lords may be considered forthwith without any Question being put</mark>
5555,<mark>3 Any further Message from the Lords may be considered forthwith without any Question being put</mark>
5556,"<mark>Tomorrow, at 2</mark>"
5557,"<mark> 2, 22 June 2020 Environment Bill Programme No</mark>"
5558,"<mark> 3, 28 September 2020 Environment Bill Programme No</mark>"
5559,<mark> 4 and 26 January 2021 Environment Bill Programme No</mark>
5560,<mark> 5</mark>
5561,"<mark> 2, 22 June 2020 Environment Bill Programme No</mark>"
5562,"<mark> 3, 28 September 2020 Environment Bill Programme No</mark>"
5563,<mark> 4 and 26 January 2021 Environment Bill Programme No</mark>
5564,<mark> 5</mark>
5565,"<mark> He oversaw the superb security operation that protected the London Olympic and Paralympic games in 2012; he was central to getting rid of Abu Qatada, sending him packing after more than a decade of legal wrangles; and he steered the groundbreaking Modern Slavery Bill through Parliament, giving the police and law enforcement agencies the powers that they need to combat some of the most dangerous and repellent criminals of all</mark>"
5566,"<mark> He oversaw the superb security operation that protected the London Olympic and Paralympic games in 2012; he was central to getting rid of Abu Qatada, sending him packing after more than a decade of legal wrangles; and he steered the groundbreaking Modern Slavery Bill through Parliament, giving the police and law enforcement agencies the powers that they need to combat some of the most dangerous and repellent criminals of all</mark>"
5567,"<mark> When, as a new MP in 2015, I was appointed as shadow Immigration Minister, I shadowed James Brokenshire</mark>"
5568,"<mark> From that day in 2015, we forged a friendship which lasted until his untimely death</mark>"
5569,"<mark> As the Prime Minister has said, he had already played a key role in the creation of the Modern Slavery Act 2015 and had begun to carve out a reputation as an unassuming but very effective Minister</mark>"
5570,"<mark> When, as a new MP in 2015, I was appointed as shadow Immigration Minister, I shadowed James Brokenshire</mark>"
5571,"<mark> From that day in 2015, we forged a friendship which lasted until his untimely death</mark>"
5572,"<mark> As the Prime Minister has said, he had already played a key role in the creation of the Modern Slavery Act 2015 and had begun to carve out a reputation as an unassuming but very effective Minister</mark>"
5573,<mark> 6</mark>
5574,<mark> 6</mark>
